=Classical Latin,Common Romanian,Modern Romanian
s ˈeː d e k i m , >* , ʃ ˈa j s p r e z e t͡ʃ e ${16.card}.ɸ16.card

d ˌeː k i e t s ˈe p t e m , >* , ʃ ˈa p t e s p r e z e t͡ʃ e ${17.card}.ɸ17.card

d ˌeː k i e t ˈo k t oː , >* , ˈo p t s p r e z e t͡ʃ e ${18.card}.ɸ18.card

ˌuː n d eː w ˌiː ɡ ˈi n t i , >* , n ˈo w ə s p r e z e t͡ʃ e ${19.card}.ɸ19.card

w ˌiː ɡ ˈi n t i , >* , d o w ə z ˈe t͡ʃ j ${20.card}.ɸ20.card
w ˌiː k ˈeː n s i m u m , >* , ${20.ord}.ɸ20.ord

t r ˌiː ɡ ˈi n t ɑ , >* , t r e j z ˈe t͡ʃ j ${30.card}.ɸ30.card
t̪ r ˌiː k ˈeː s i m u m , >* , t r e j z ˈe t͡ʃ i l e̯ a ${30.ord}.ɸ30.ord

k w ˌɑ d r ɑː ɡ ˈi n t ɑ m , >* , p ˈa t r u z ˈe t͡ʃ j ${40.card}.ɸ40.card
k w ˌɑ d r ɑː ɡ ˈeː s i m ɑ , >* , p a t r u z ˈe t͡ʃ i l e a̯ ${40.ord}. Actually a Christian term {Lent} but related to the number.ɸ40.ord

k w ˌiː n k w ɑː ɡ ˈi n t ɑ m , >* ,  t͡ʃ i n t͡ʃ z ˈe t͡ʃ j ${50.card}.ɸ50.card
k w ˌiː n k w ɑː ɡ ˈeː s i m ɑ  , >* , t͡ʃ i n t͡ʃ z ˈe t͡ʃ i l e a̯ ${50.ord}. Actually a Christian term but related to the number.ɸ50.ord

s ˌe k s ɑː ɡ ˈi n t ɑ m , >* , ʃ a j z ˈe t͡ʃ j ${60.card}.ɸ60.card
s ˌe p t ɑː ɡ ˈi n t ɑ m , >* , ʃ a p t e z ˈe t͡ʃ j ${70.card}.ɸ70.card

ˌo k t ɑː ɡ ˈi n t ɑ m , >* , o p t z ˈe t͡ʃ j ${80.card}.ɸ80.card

n ˌoː n ɑː ɡ ˈi n t ɑ m , >* , n o w ə z ˈe t͡ʃ j ${90.card}.ɸ90.card

k ˈe n t u m , s ˈu t ə , s ˈu t ə ${100.card}.ɸ100.card
k ˌe n t ˈeː s i m u m , >* , s ˈu t ə l e a̯ ${100.ord}.ɸ100.ord

m ˈiː l l e m , >* , m ˈi e ${1000.card}.ɸ1000.card
m ˌiː l l ˈeː s i m u m , >* , m ˈi j l e a̯ ${1000.ordɸ1000.ord
