INPUT,/ˈuːn̪um/,/ˈuːn̪ɑm/,/ˌuːn̪um/,/ˌuːn̪ɑm/,/prˈiːmum/,/prˌiːmˈɑːrium/,/sˈimplum/,/ˈin̪t̪eɡrum/,/d̪uˈo/,{ABSENT},/d̪uˈoːs/,/d̪ˈuae̯/,/d̪ˈuɑːs/,/sˌekˈun̪d̪um/,{ABSENT},/d̪ˈuplum/,/d̪ˌimˈed̪ium/,/mˌed̪iet̪ˈɑːt̪em/,/t̪rˈeːs/,/t̪rˈeːs/,{ABSENT},/t̪ˈert̪ium/,/t̪rˈiplum/,/t̪rˌiˈen̪t̪em/,/t̪ˌert̪iˈɑːrium/,/kwˈɑt̪t̪uor/,/kwˈɑːrt̪um/,/kwˌɑːd̪rˈuplum/,/kwˌɑːt̪ˈern̪um/,/kwˌɑd̪rˈɑn̪t̪em/,/kwˌɑːrt̪ˈɑːrium/,/kwˈiːn̪kwe/,/kwˈiːn̪t̪um/,/kwˌiːn̪ˈɑːrium/,/sˈeks/,/sˈekst̪ɑ/,/sˌekst̪ˈɑːrium/,/sˈept̪em/,/sˈept̪imum/,/sˌept̪ˈeːn̪um/,/ˈokt̪oː/,/ˌoktˈɑːwum/,/ˌokt̪ˈɑn̪t̪em/,/n̪ˈowem/,/n̪ˈoːn̪um/,/n̪ˌowˈeːn̪um/,/d̪ˈekem/,/d̪ˈekimum/,/d̪ˌekˈeːn̪um/,/d̪ˌeːn̪ˈɑːrium/,/un̪d̪ekim/,/d̪uˈod̪ekim/,/t̪rˈeːd̪ekim/,/kwˌɑt̪t̪uˈord̪ekim/,/kwˈiːn̪d̪ekim/,/sˈeːd̪ekim/,/d̪ˌeːkiet̪sˈept̪em/,/d̪ˌeːkietˈokt̪oː/,/ˌuːn̪d̪eːwˌiːɡˈin̪t̪i/,{ABSENT},/wˌiːɡˈin̪t̪i/,/wˌiːkˈeːnsimum/,/t̪rˌiːɡˈin̪t̪ɑ/,{ABSENT},/t̪rˌiːkˈeːsimum/,/kwˌɑd̪rɑːɡˈin̪t̪ɑm/,{ABSENT},/kwˌɑd̪rɑːɡˈeːsimɑ/,/kwˌiːn̪kwɑːɡˈin̪t̪ɑm/,{ABSENT},/kwˌiːn̪kwɑːɡˈeːsimɑ/,/sˌeksɑːɡˈin̪t̪ɑm/,{ABSENT},/sˌept̪ɑːɡˈin̪t̪ɑm/,{ABSENT},/ˌokt̪ɑːɡˈin̪t̪ɑm/,{ABSENT},/n̪ˌoːn̪ɑːɡˈin̪t̪ɑm/,{ABSENT},/kˈen̪t̪um/,/kˌen̪t̪ˈeːsimum/,/kˌen̪t̪eːn̪ˈɑːrium/,/mˈiːllem/,/mˌiːllˈeːsimum/
R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/kwˈiːŋkwe/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*/kwˌiːŋkwɑːɡˈin̪t̪ɑm/,,*/kwˌiːŋkwɑːɡˈeːsimɑ/,,,,,,,,,,,,,
R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2,,,,,,,,,,,,*/d̪ˈuɑe̯/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3,,,,,,,,,,,,*/d̪ˈuae̯/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6,,,,,,,,,,,,,,,,,,,,,,,,,,*/kɣʷˈɑt̪t̪uor/,*/kɣʷˈɑːrt̪um/,*/kɣʷˌɑːd̪rˈuplum/,*/kɣʷˌɑːt̪ˈern̪um/,*/kɣʷˌɑd̪rˈɑn̪t̪em/,*/kɣʷˌɑːrt̪ˈɑːrium/,*/kɣʷˈiːŋkɣʷe/,*/kɣʷˈiːn̪t̪um/,*/kɣʷˌiːn̪ˈɑːrium/,,,,,,,,*/ˌoktˈɑːɣʷum/,,*/n̪ˈoɣʷem/,,*/n̪ˌoɣʷˈeːn̪um/,,,,,,,,*/kɣʷˌɑt̪t̪uˈord̪ekim/,*/kɣʷˈiːn̪d̪ekim/,,,,*/ˌuːn̪d̪eːɣʷˌiːɡˈin̪t̪i/,,*/ɣʷˌiːɡˈin̪t̪i/,*/ɣʷˌiːkˈeːnsimum/,,,,*/kɣʷˌɑd̪rɑːɡˈin̪t̪ɑm/,,*/kɣʷˌɑd̪rɑːɡˈeːsimɑ/,*/kɣʷˌiːŋkɣʷɑːɡˈin̪t̪ɑm/,,*/kɣʷˌiːŋkɣʷɑːɡˈeːsimɑ/,,,,,,,,,,,,,
R7,,,,,,,,,,,,,,,,,,,,,,,,,,*/kwˈɑt̪t̪uor/,*/kwˈɑːrt̪um/,*/kwˌɑːd̪rˈuplum/,*/kwˌɑːt̪ˈern̪um/,*/kwˌɑd̪rˈɑn̪t̪em/,*/kwˌɑːrt̪ˈɑːrium/,*/kwˈiːŋkwe/,*/kwˈiːn̪t̪um/,*/kwˌiːn̪ˈɑːrium/,,,,,,,,,,,,,,,,,,,,*/kwˌɑt̪t̪uˈord̪ekim/,*/kwˈiːn̪d̪ekim/,,,,,,,,,,,*/kwˌɑd̪rɑːɡˈin̪t̪ɑm/,,*/kwˌɑd̪rɑːɡˈeːsimɑ/,*/kwˌiːŋkwɑːɡˈin̪t̪ɑm/,,*/kwˌiːŋkwɑːɡˈeːsimɑ/,,,,,,,,,,,,,
R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
